鳥|鳥の巣; 野鳥|`tori` no `su`; `ya``chou`|bird's nest; wild bird|tori:鳥の巣;chou:野鳥
講|講堂; 講師; 講義; 講演|`kou``dou`; `kou``shi`; `kou``gi`; `kou``en`|lecture hall; lecturer; lecture; lecture, address, speech|kou:講堂,講師,講義,講演
師|講師; 師匠; 宣教師; 薬剤師; 牧師|`kou``shi`; `shi``shou`; `sen``kyou``shi`; `yaku``zai``shi`; `boku``shi`|lecturer; master, teacher; missionary; pharmacist; pastor, minister, clergyman, reverend|shi:講師,師匠,宣教師,薬剤師,牧師
義|講義; 全体主義; 義務; 正義; 快楽主義; 奥義; 放任主義; 定義; 共産主義|`kou``gi`; `zen``tai``shu``gi`; `gi``mu`; `sei``gi`; `kai``raku``shu``gi`; `ou``gi`; `hou``nin``shu``gi`; `tei``gi`; `kyou``san``shu``gi`|lecture; totalitarianism; obligation, duty; justice; hedonism; secret; principle of laissez-faire; definition; Communism|gi:講義,全体主義,義務,正義,快楽主義,奥義,放任主義,定義,共産主義
設|設置; 設ける; 建設; 建設的; 開設; 設計; 開設; 施設|`sec``chi`; `mou`keru; `ken``setsu`; `ken``setsu``teki`; `kai``setsu`; `sek``kei`; `kai``setsu`; `shi``setsu`|install, set up; establish, create, prepare ahead of time; construction (e.g. buildings); constructive; establishment, opening; plan, design, layout; explanation, commentary; facility, institution, establishment|sextsu:設置,設計;mou:設ける;setsu:建設,建設的,開設,施設
置|設置; 置く; 据え置く; 処置; 装置; 措置; 位置; 前置き; 風上に置けない|`sec``chi`; `o`ku; `su`e`o`ku; `sho``chi`; `sou``chi`; `so``chi`; `i``chi`; `mae``o`ki; `kaza``kami`ni`o`kenai|install, set up; place; to leave as is untouched; deal with, give medical treatment; equipment, installation; measures (e.g. measures taken to combat a problem); place, position; preface, preamble, introduction; a disgrace (to a whole group)|chi:設置,処置,装置,措置,位置;o:置く,据え置く,前置き,風上に置けない
建|建設; 建設的; 建物; 建築; 建坪|`ken``setsu`; `ken``setsu``teki`; `tate``mono`; `ken``chiku`; `tate``tsubo`|construction (e.g. buildings); constructive; building; construction, architecture (suru verb); floor space|ken:建設,建設的,建築;tate:建物,建坪
不|不健康な; 不妊; 不景気な; 不屈の; 不意; 不況; 不意打ち; 不可能な; 不能; 不可分; 不思議; 不快; 不動産; 不可避; 不通; 不断; 不遜; 不祥事; 不足; 不謹慎; 不審; 不審者; 不和; 理不尽; 不可逆; 不満; 不味い; 不当; 不明; 不条理; 不吉; 不幸|`fu``ken``kou`; `fu``nin`; `fu``kei``ki` na; `fu``kutsu`no; `fu``i`; `fu``kyou`; `fu``i``u`chi; `fu``ka``nou` na; `fu``nou`; `fu``ka``bun`; `fu``shi``gi`; `fu``kai`; `fu``dou``san`; `fu``ka``hi`; `fu``tsuu`; `fu``dan`; `fu``son`; `fu``shou``ji`; `fu``soku`; `fu``kin``shin`; `fu``shin`; `fu``shin``sha`; `fu``wa`; `ri``fu``jin`; `fu``ka``gyaku`; `fu``man`; mazui; `fu``tou`; `fu``mei`; `fu``jou``ri`; `fu``kitsu`; `fu``kou`|unhealthy; infertile; gloomy, cheerless; unyielding, indomitable; sudden, unexpected (like fuiuchi); depression, recession, slump; surprise attack; impossible; incompetent; indivisible, inseparable; wonder, strange; displeasure, discomfort, unpleasantness; real estate; unavoidable, inevitable; suspension, interruption, stoppage (ni naru: interrupted, e.g. train service); constant, persistent, usual, normal; disrespectful, insolent, haughty, arrogant; scandal, deplorable event; insufficient, lacking; indescretion, imprudence; doubt, suspicion, question; suspicious person; disharmony, discord; unreasonable; irreversible; dissatisfied; bad (tasting), unskillful; unjust, unfair, undue, unwarranted; unclear, uncertain, ambiguous; unreasonable, irrational, absurd; ominous, sinister, unlucky; unhappiness, sorrow, misfortune, disaster|fu:不健康な,不妊,不景気な,不屈の,不意,不況,不意打ち,不可能な,不能,不可分,不思議,不快,不動産,不可避,不通,不断,不遜,不祥事,不足,不謹慎,不審,不審者,不和,理不尽,不可逆,不満,不当,不明,不条理,不吉,不幸;mazui:不味い
健|不健康な; 健やか; 健全; 保健|`fu``ken``kou`; `suko`yaka; `ken``zen`; `ho``ken`|unhealthy; healthy; health, soundness; preservation of health, hygiene, sanitation|ken:不健康な,健全,保健;suko:健やか
康|不健康な|`fu``ken``kou`|unhealthy|kou:不健康な
開|開設; 開拓; 開放; 展開; 開設; 満開; 開催|`kai``setsu`; `kai``taku`; `kai``hou`; `ten``kai`; `kai``setsu`; `man``kai`; `kai``sai`|establishment, opening; reclamation, culivation, pioneering; release; development, evolution, unfloding; explanation, commentary; full bloom; holding (a conference, exhibition, etc.), hosting (e.g. the olympics), opening (an event)|kai:開設,開拓,開放,展開,満開,開催
言|言葉遣い; 妄言; 助言; 狂言; 甘言; 言い訳; 宣言; 虚言; 証言; 巧言令色; 言行一致; 戯言; 言いたげ|`koto``ba``duka`i; `mou``gen`; `jo``gen`; `kyou``gen`; `kan``gen`; `i`i`wake`; `sen``gen`; `kyo``gen`; `shou``gen`; `kou``gen``rei``shoku`; `gen``kou``ic``chi`; `tawa``goto`; `i`itage|wording; reckless remark, thoughtless words; advice, tip; a farce play between Noh plays; sweet words, smooth talk, cajolery; excuse; declaration, proclomation; falsehood, lie; testimony; flattery, honeyed words; consistency between speech and action; nonsense, silly talk, drivel; seeming to want to say something|koto:言葉遣い,戯言;gen:妄言,助言,狂言,甘言,宣言,虚言,証言,巧言令色,言行一致;i:言い訳,言いたげ
葉|言葉遣い; 落ち葉|`koto``ba``duka`i; `o`chi`ba`|wording; fallen leaves|ba:言葉遣い,落ち葉
遣|言葉遣い; 遣う; 派遣|`koto``ba``duka`i; `tsuka`u; `ha``ken`|wording; use; suru: dispatch, depoly|tsuka:言葉遣い,遣う;ken:派遣
破|破る; 見破る; 喝破; 各個撃破; 破裂; 破損; 破局; 破滅|`yabu`ru; `mi``yabu`ru; `kap``pa`; `kak``ko``geki``ha`; `ha``retsu`; `ha``son`; `ha``kyoku`; `ha``metsu`|to break, tear, defeat; see through (a plot), see (into someone's heart); arguing someone down, scolding; defeating opponents one by one, piecemeal defeat; explosion, rupture; damage; catastrophe; ruin, destruction|yabu:破る,見破る;ha:喝破,各個撃破,破裂,破損,破局,破滅
見|見破る; 見詰める; 意見; 見解; 偏見; 形見; 見当; お見舞い; 見学; 見方|`mi``yabu`ru; `mi``tsu`meru; `i``ken`; `ken``kai`; `hen``ken`; `kata``mi`; `ken``tou`; o`mi``ma`i; `ken``gaku`; `mi``kata`|see through (a plot), see (into someone's heart); to stare at, gaze at; opinion; opinion, point of view; prejudice, bias; a momento, keepsake; estimate, guess; to visit (e.g. someone at the hospital); to visit (e.g. a factory) to learn something; way of viewing things, point of view|mi:見破る,見詰める,形見,お見舞い,見方;ken:意見,見解,偏見,見当,見学
覆|覆う; 覆る; 覆面; 覆水盆に返らず|`oo`u; `kutsugae`ru; `fuku``men`; `fuku``sui``bon`ni`kae`razu|cover/conceal; topple, overturn; mask; can't return spilled water to the tray, what's done is done|oo:覆う;kutsugae:覆る;fuku:覆面,覆水盆に返らず
面|覆面; 面; 面; 工面; 真面目; 顔面; 譜面; 洗面所; 面談; 面接; 反面; 局面; 側面|`fuku``men`; tsura; omote; `ku``men`; `ma``ji``me`; `gan``men`; `fu``men`; `sen``men``jo`; `men``dan`; `men``setsu`; `han``men`; `kyoku``men`; `soku``men`|mask; face; front; suru: to finagle, to scheme to get some necessary things, to scrounge up; diligent; face; sheet music; washroom, bathroom; interview; interview (for a job); an opposing point, on the other hand; state of the game (in Go); flank, side|men:覆面,工面,顔面,譜面,洗面所,面談,面接,反面,局面,側面;tsura:面;omote:面;ji:真面目
褒|褒美; 褒める|`hou``bi`; `ho`meru|reward; praise|hou:褒美;ho:褒める
美|褒美; 美麗; 美術; 謙譲の美徳; 美容; 美しい; 美術館; 美味い; 美容院; 美貌; 甘美|`hou``bi`; `bi``rei`; `bi``jutsu`; `ken``jou` no `bi``toku`; `bi``you`; `utsuku``shii`; `bi``jutsu``kan`; umai; `bi``you``in`; `bi``bou`; `kan``bi`|reward; gorgeous; art; virtue of modesty; beauty of form; beautiful; art gallery; good (tasting); beauty parlor; beautiful face; sweet|bi:褒美,美麗,美術,謙譲の美徳,美容,美術館,美容院,美貌,甘美;utsuku:美しい;shii:美しい;umai:美味い
製|製造; 製品; 製菓; 製作|`sei``zou`; `sei``hin`; `sei``ka`; `sei``saku`|suru: manufacture; manufactured good; confectionary production, baking; to make (a product)|sei:製造,製品,製菓,製作
造|製造; 改造; 造る; 造型; 偽造; 構造; 醸造|`sei``zou`; `kai``zou`; `tsuku`ru; `zou``kei`; `gi``zou`; `kou``zou`; `jou``zou`|suru: manufacture; reform, reconstruct; build; suru:to mold, shape, model (i.e. plastic arts); forgery; structure; brewing|zou:製造,改造,造型,偽造,構造,醸造;tsuku:造る
品|製品; 景品; 商品; 賞品; 薬品; 類似品; 品質; 消耗品; 逸品; 品|`sei``hin`; `kei``hin`; `shou``hin`; `shou``hin`; `yaku``hin`; `rui``ji``hin`; `hin``shitsu`; `shou``mou``hin`; `ip``pin`; shina|manufactured good; gift, prize (e.g. pachinko); merchandise; prize, trophy; drugs; imitation (goods); (material) quality; consumable goods; excellent article, fine item; item|hin:製品,景品,商品,賞品,薬品,類似品,品質,消耗品,逸品;shina:品
改|改造; 改める; 改築; 更改; 改定|`kai``zou`; `arata`meru; `kai``chiku`; `kou``kai`; `kai``tei`|reform, reconstruct; redo, revise, reform, correct; reconstruction (of a building); renewal, extension (e.g. of a legal obligation); revision (of text), alteration|kai:改造,改築,更改,改定;arata:改める
血|血液; 純血; 混血; 血筋; 吸血鬼; 輸血; 充血|`ketsu``eki`; `jun``ketsu`; `kon``ketsu`; `chi``suji`; `kyuu``ketsu``ki`; `yu``ketsu`; `juu``ketsu`|blood; pure blood; mixed race; lineage, strain, descent; vampire; blood transfusion; blood congestion, bloodshot|ketsu:血液,純血,混血,吸血鬼,輸血,充血;chi:血筋
液|血液; 液体; 液; 液化|`ketsu``eki`; `eki``tai`; eki; `eki``ka`|blood; fluid (e.g. goop); fluid; suru: liquify|eki:血液,液体,液,液化
落|落ち葉; 落雷; 落書き; 落ち着く; 堕落; 落第; 没落; 崩落; 急落; 段落|`o`chi`ba`; `raku``rai`; `raku``ga`ki; `o`chi`tsu`ku; `da``raku`; `raku``dai`; `botsu``raku`; `hou``raku`; `kyuu``raku`; `dan``raku`|fallen leaves; lightning strike; doodle, graffiti; to calm down; corruption, depravity, suru: to become corrupted, to degenerate into; failure, dropping out; ruin, fall, collapse; collapse, cave-in; success or failure; paragraph, a stopping point (before the next phase)|o:落ち葉,落ち着く;raku:落雷,落書き,堕落,落第,没落,崩落,急落,段落
体|液体; 体育; 全体主義; 団体; 体調; 解体; 体験; 体裁; 体操; 体制; 導体; 個体; 気体; 体格; 文体; 媒体; 体罰|`eki``tai`; `tai``iku`; `zen``tai``shu``gi`; `dan``tai`; `tai``chou`; `kai``tai`; `tai``ken`; `tei``sai`; `tai``sou`; `tai``sei`; `dou``tai`; `ko``tai`; `ki``tai`; `tai``kaku`; `bun``tai`; `bai``tai`; `tai``batsu`|fluid (e.g. goop); physical education, athletics; totalitarianism; organization; physical condition; demolition, dismantling; personal experience; outward appearance; physical exercises, gynmastics; order, system, structure, set-up; conductor (e.g. electricity); solid (body), solid matter, solid state; gas (e.g. vapour, the state of matter); build, physique, frame; style (of writing), literary style; medium, media; corporal punishment|tai:液体,体育,全体主義,団体,体調,解体,体験,体操,体制,導体,個体,気体,体格,文体,媒体,体罰;tei:体裁
苦|苦渋; 苦しい; 苦い; 苦難; 苦労; 苦手; 苦痛; 苦役|`ku``juu`; `kuru`shii; `niga`i; `ku``nan`; `ku``rou`; `niga``te`; `ku``tsuu`; `ku``eki`|bitter experience, anguish; painful; bitter; suffering, hardship; suffering, struggle; bad at; pain, agony; toil, drudgery, penal servitude, imprisonment (with hard labour)|ku:苦渋,苦難,苦労,苦痛,苦役;kuru:苦しい;niga:苦い,苦手
渋|苦渋; 渋い; 難渋; 渋滞|`ku``juu`; `shibu`i; `nan``juu`; `juu``tai`|bitter experience, anguish; bitter, sober, somber [e.g. one's expression]; suffering, struggling; (traffic) congestion, traffic jam|juu:苦渋,難渋,渋滞;shibu:渋い
労|苦労; 労働者; 過労死; 勤労; 疲労; 就労; 慰労; 徒労|`ku``rou`; `rou``dou``sha`; `ka``rou``shi`; `kin``rou`; `hi``rou`; `shuu``rou`; `i``rou`; `to``rou`|suffering, struggle; manual laborer; death by overwork; labour, exertion; fatigue, tiredness, weariness; working, being employed; to acknowledge a person's services; wasted effort, fruitless effort:|rou:苦労,労働者,過労死,勤労,疲労,就労,慰労,徒労
脳|脳; 頭脳; 脳内; 首脳; 主脳; 洗脳; 脳幹|nou; `zu``nou`; `nou``nai`; `shu``nou`; `shu``nou`; `sen``nou`; `nou``kan`|brain; brains, intellect; inside the head; head, leader; important part; brainwash; brain stem|nou:脳,頭脳,脳内,首脳,主脳,洗脳,脳幹
頭|頭脳; 頭巾; 冒頭; 頭痛; 先頭; 頭が上がらない; 巻頭; 旗頭|`zu``nou`; `zu``kin`; `bou``tou`; `zu``tsuu`; `sen``tou`; `atama`ga`a`garanai; `kan``tou`; `hata``gashira`|brains, intellect; hood, kerchief; the beginning, the opening; headache; head, lead, vanguard; can't thank you enough (X ni atama etc.); start of a book/scroll; leader, boss|zu:頭脳,頭巾,頭痛;tou:冒頭,先頭,巻頭;atama:頭が上がらない;gashira:旗頭
内|脳内; 宮内庁; 内容; 内陸; 内蔵; 屋内; 村内; 館内; 内包|`nou``nai`; `ku``nai``chou`; `nai``you`; `nai``riku`; `nai``zou`; `oku``nai`; `son``nai`; `kan``nai`; `nai``hou`|inside the head; Imperial Household Agency; contents; inland; internal (e.g. mechanisms); indoors; inside the village; inside the building; connotation, comprehension|nai:脳内,宮内庁,内容,内陸,内蔵,屋内,村内,館内,内包
首|首脳; 乳首; 首; 元首; 首席; 首相|`shu``nou`; `chi``kubi`; kubi; `gen``shu`; `shu``seki`; `shu``shou`|head, leader; nipple; neck; ruler, sovereign; top [first] in the class; prime minister|shu:首脳,元首,首席,首相;kubi:乳首,首
主|主脳; 全体主義; 主人; 主; 主に; 地主; 快楽主義; 主観的; 主任; 放任主義; 雇用主; 株主; 民主; 自由民主党; 主要; 主席; 主導; 主役; 主催; 主催者; 主筆; 共産主義; 主; 主張; 主催|`shu``nou`; `zen``tai``shu``gi`; `shu``jin`; nushi; `omo`ni; `ji``nushi`; `kai``raku``shu``gi`; `shu``kan``teki`; `shu``nin`; `hou``nin``shu``gi`; `ko``you``nushi`; `kabu``nushi`; `min``shu`; `ji``yuu` `min``shu` `tou`; `shu``you`; `shu``seki`; `shu``dou`; `shu``yaku`; `shu``sai`; `shu``sai``sha`; `shu``hitsu`; `kyou``san``shu``gi`; aruji; `shu``chou`; `shu``sai`|important part; totalitarianism; head, proprietor, landlord, one's husband; master; mainly, primarily; landlord, landowner; hedonism; subjective; person in charge; principle of laissez-faire; employer; shareholder; democracy; Liberal Democratic Party; chief, main, principal, major; head, chief chairman; leadership, initiative; main role; sponsorship, promotion; sponsor, promoter; editor-in-chief; Communism; master; claim, insistence, assertion (e.g. I won the election!); chairmanship, presidency|shu:主脳,全体主義,主人,快楽主義,主観的,主任,放任主義,民主,自由民主党,主要,主席,主導,主役,主催,主催者,主筆,共産主義,主張;nushi:主,地主,雇用主,株主;omo:主に;aruji:主
聖|聖母; 聖堂; 神聖; 聖書|`sei``bo`; `sei``dou`; `shin``sei`; `sei``sho`|holy mother (like Mary); temple, church; holiness; Bible, scriptures|sei:聖母,聖堂,神聖,聖書
母|聖母; 乳母車; 酵母; 叔母; 母胎; 祖母; 伯母|`sei``bo`; `u``ba``guruma`; `kou``bo`; `o``ba`; `bo``tai`; `so``bo`; `o``ba`|holy mother (like Mary); baby carriage; yeast, leaven; aunt (specifically, a parent's 妹); womb, uterus; grandmother; aunt (specifically, a parent's 姉)|bo:聖母,酵母,母胎,祖母;ba:乳母車,叔母,伯母
神|神聖; 心神; 心神耗弱; 神経; 神経質|`shin``sei`; `shin``shin`; `shin``shin``kou``jaku`; `shin``kei`; `shin``kei``shitsu`|holiness; mind; feeble-mindedness, diminished capacity; nerve; nervous, high-strung, sensitive, worried about small things|shin:神聖,心神,心神耗弱,神経,神経質
書|聖書; 書く; 教科書; 図書館; 落書き; 願書; 著書; 清書; 書き取り; 書類; 辞書; 書房; 叢書; 上書き; 書店; 福音書|`sei``sho`; `ka`ku; `kyou``ka``sho`; `to``sho``kan`; `raku``ga`ki; `gan``sho`; `cho``sho`; `sei``sho`; `ka`ki`to`ri; `sho``rui`; `ji``sho`; `sho``bou`; `sou``sho`; `uwa``ga`ki; `sho``ten`; `fuku``in``sho`|Bible, scriptures; write; textbook; library; doodle, graffiti; application (form); (literary) work, book, one's writings; clean copy (suru vb.); dictation, kanji quiz, transcribing/writing down something from another source; documents; dictionary; library, book store; a collection of books, personal library; overwrite; bookstore; the Gospel|sho:聖書,教科書,図書館,願書,著書,清書,書類,辞書,書房,叢書,書店,福音書;ka:書く,落書き,書き取り,上書き
