鳥|鳥の巣; 野鳥|`tori` no `su`; `ya``chou`|bird's nest; wild bird|tori:鳥の巣;chou:野鳥
施|施す; 実施; 施設; 布施|`hodoko`su; `jis``shi`; `shi``setsu`; `fu``se`|to bestow; enforcement, implementation, putting into practice; facility, institution, establishment; alms, offerings, charity|hodoko:施す;shi:実施,施設;se:布施
蛍|蛍; 蛍光灯|hotaru; `kei``kou``tou`|firefly; flourescent lamp|hotaru:蛍;kei:蛍光灯
灯|灯; 灯る; 灯火; 電灯; 点灯; 消灯; 蛍光灯|hi; `tomo`ru; `tomoshi``bi` or `tou``ka`; `den``tou`; `ten``tou`; `shou``tou`; `kei``kou``tou`|lamp; to be lit (e.g. candle, lamp); light, lamplight, torch; electric light; turning on a light; putting out a light; flourescent lamp|hi:灯;tomo:灯る;tomoshi:灯火;tou:灯火,電灯,点灯,消灯,蛍光灯
昆|昆虫; 昆布|`kon``chuu`; `kon``bu`|insects, bugs; konbu seaweeed|kon:昆虫,昆布
似|似る; 類似; 類似品; 酷似; 似合う; 真似|`ni`ru; `rui``ji`; `rui``ji``hin`; `koku``ji`; `ni``a`u; mane|to be similar to; resemblance, suru: to resemble; imitation (goods); resemblance; to suit, to match; imitation, acting like|ni:似る,似合う;ji:類似,類似品,酷似;mane:真似
拭|拭う; 拭く|`nugu`u; `fu`ku|to wipe, to get rid of; to wipe, to dry|nugu:拭う;fu:拭く
尻|尻; 尻尾|shiri; `ship``po`|butt, end; tail|shiri:尻;shixtsu:尻尾
凍|凍る; 凍える; 冷凍; 凍結; 冷凍庫; 凍死|`koo`ru; `kogo`eru; `rei``tou`; `tou``ketsu`; `rei``tou``ko`; `tou``shi`|to freeze; to be frozen, to be numb with cold; freezing, cold storage, refrigeration; freezing (water, prices, wages, assets, etc.); freezer; freezing to death|koo:凍る;kogo:凍える;tou:冷凍,凍結,冷凍庫,凍死
摘|摘む; 指摘; 摘発; 摘要|`tsu`mu; `shi``teki`; `teki``hatsu`; `teki``you`|to pluck (e.g. a flower from the ground); pointing out, identification; exposing, unmasking; outline, summary|tsu:摘む;teki:指摘,摘発,摘要
平|平ら; 平行; 水平; 公平; 和平; 地平線; 平等; 平穏; 平均|`tai`ra; `hei``kou`; `sui``hei`; `kou``hei`; `wa``hei`; `chi``hei``sen`; `byou``dou`; `hei``on`; `hei``kin`|flatness, level, smooth; parallel; level, horizontality; fairness; peace; horizon (on land); equality; peaceful; average, mean|tai:平ら;hei:平行,水平,公平,和平,地平線,平穏,平均;byou:平等
皆|皆|minna|everyone|minna:皆
枕|枕; 枕元|makura; `makura``moto`|pillow; one's bedside|makura:枕,枕元
飽|飽きる; 飽和; 飽くまで; 飽食|`a`kiru; `hou``wa`; `a`kumade; `hou``shoku`|to grow weary of; saturation; to the end, after all; eating one's fill|a:飽きる,飽くまで;hou:飽和,飽食
態|状態; 事態; 態度; 実態; 形態; 容態|`jou``tai`; `ji``tai`; `tai``do`; `jit``tai`; `kei``tai`; `you``dai`|state, current status; situation, present state of affairs; attitude, manner; true state, actual condition; form, shape, figure; condition, state (of health)|tai:状態,事態,態度,実態,形態,容態
草|草; 牧草|kusa; `boku``sou`|grass; pasture|kusa:草;sou:牧草
貢|貢ぐ; 貢物; 年貢; 貢納; 来貢|`mitsu`gu; `mitsugi``mono`; `nen``gu`; `kou``nou`; `rai``kou`|to support, to finance, to contribute; tribute; annual tribute, land tax; paying a tribute; coming to pay tribute|mitsu:貢ぐ;mitsugi:貢物;gu:年貢;kou:貢納,来貢
泰|泰; 安泰; 泰然|tai; `an``tai`; `tai``zen`|Thailand; secure, stable, tranquil; calm, composed|tai:泰,安泰,泰然
角|角; 角; 角度; 直角; 三角|kado; tsuno; `kaku``do`; `chok``kaku`; `san``kaku`|corner; horn, antler; angle; right angle; triangle|kado:角;tsuno:角;kaku:角度,直角,三角
慌|慌てる; 慌ただし|`awa`teru; `awa`tadashii|to be flustered, to be in a panic; busy, hectic, hurried|awa:慌てる,慌ただし
貧|貧しい; 貧乏; 清貧|`mazu`shii; `bin``bou`; `sei``hin`|poor, needy; poverty, destitute, poor; honourable poverty|mazu:貧しい;hin:貧乏,清貧
俵|米俵; 土俵|`kome``dawara`; `do``hyou`|straw rice bag; wrestling ring, forum (for discussion)|dawara:米俵;hyou:土俵
判|判決; 審判; 批判|`han``ketsu`; `shin``pan`; `hi``han`|judgement; referree; criticism, judgement|han:判決,審判,批判
批|批判; 批難; 批准|`hi``han`; `hi``nan`; `hi``jun`|criticism, judgement; criticism, blame, reproach; to ratify|hi:批判,批難,批准
准|批准; 准将|`hi``jun`; `jun``shou`|to ratify; brigadier general|jun:批准,准将
舞|舞う; お見舞い; 舞踏; 舞踏会; 二の舞|`ma`u; o`mi``ma`i; `bu``tou`; `bu``tou``kai`; `ni`no`mai`|to dance; to visit (e.g. someone at the hospital); dance (esp. western style); a ball, a dance; ...all over again (repeating the same failure/disaster)|ma:舞う,お見舞い;bu:舞踏,舞踏会;mai:二の舞
踏|踏む; 踏切; 踏ん張る; 舞踏; 舞踏会; 値踏み; 雑踏; 足踏み|`fu`mu; `fumi``kiri`; `fu`n`ba`ru; `bu``tou`; `bu``tou``kai`; `ne``bu`mi; `zat``tou`; `ashi``bumi`|to step; railway crossing; to press on; dance (esp. western style); a ball, a dance; suru: appraising, evaluating, setting prices; hustle and bustle, throng, crowd; stepping in place, standstill|fu:踏む,踏ん張る,値踏み;fumi:踏切,足踏み;tou:舞踏,舞踏会,雑踏
彙|語彙; 語彙力; 彙類; 辞彙; 字彙|`go``i`; `go``i``ryoku`; `i``rui`; `ji``i`; `ji``i`|vocabulary, lexicon; (the extent of) one's vocabulary; classification, same class; glossary, dictionary; dictionary of chinese characters|i:語彙,語彙力,彙類,辞彙,字彙
